fid,id,NOM_DPTO,COD_DPTO,municipio,COD_MUN,COD_MUN4,TASA_POBR,POBR_FISDL,PERIM_KM,AREA_KM2,POB_TOTAL,POB_HOMB,POB_MUJER,Shape_Leng,Shape_Area,densidad,2024_TOTAL_HOMBRES_sum,2024_TOTAL_MUJERES_sum,2024_TOTAL_GENERAL_sum,porcentaje_inscritos
"240","240",CHALATENANGO,"04",ZONA DE DEMARCACION LIMITROFE,,,0,,15.583727,66.767208,"0","0","0",0.179415412012,0.000795170070154,"0",23.000000,20.000000,43.000000,
"241","241",LA LIBERTAD,"05",LA LIBERTAD,"09","0509",41.7,Pobreza Moderada,95.8997986439,136.609461324,"35997","17399","18598",0.877924817969,0.0114060076852,"264",4495.000000,4554.000000,9049.000000,25.1382059616079
"242","242",LA LIBERTAD,"05",JICALAPA,"08","0508",63.9,Pobreza Alta,36.7385216785,50.8084786185,"5116","2543","2573",0.335172282657,0.00424301441782,"101",623.000000,583.000000,1206.000000,23.5731039874902
"243","243",LA LIBERTAD,"05",ZARAGOZA,"22","0522",38.9,Pobreza Moderada,28.0432386745,22.6095472654,"22525","10684","11841",0.255510290695,0.00188845142108,"996",1965.000000,1939.000000,3904.000000,17.3318534961154
"244","244",LA LIBERTAD,"05",SAN JOSE VILLANUEVA,"14","0514",41.1,Pobreza Moderada,39.0171949159,34.7296261249,"13576","6583","6993",0.355498254582,0.00290057303244,"391",1412.000000,1408.000000,2820.000000,20.7719505008839
"245","245",LA LIBERTAD,"05",HUIZUCAR,"06","0506",50.1,Pobreza Alta,49.6686402796,54.3856752912,"14465","7028","7437",0.453218630905,0.00454253240872,"266",1203.000000,1156.000000,2359.000000,16.3083304528171
"246","246",LA LIBERTAD,"05",TAMANIQUE,"18","0518",57.1,Pobreza Alta,59.9577345782,99.0606906175,"13544","6725","6819",0.54680692134,0.00827367840154,"137",1401.000000,1385.000000,2786.000000,20.5699940933255
"247","247",LA LIBERTAD,"05",CHILTIUPAN,"05","0505",55.2,Pobreza Alta,57.3032265144,84.550730639,"10897","5484","5413",0.52234942551,0.00706172247432,"129",1521.000000,1433.000000,2954.000000,27.1083784527852
"248","248",LA LIBERTAD,"05",NUEVO CUSCATLAN,"10","0510",40.4,Pobreza Moderada,14.8895541693,8.67018273368,"6897","3280","3617",0.136145518502,0.000724384680159,"795",324.000000,332.000000,656.000000,9.51138176018559
"249","249",LA LIBERTAD,"05",TEOTEPEQUE,"20","0520",58.5,Pobreza Alta,65.4604342443,101.237906401,"12320","6066","6254",0.598557788963,0.00845536530644,"122",999.000000,1030.000000,2029.000000,16.4691558441558
"250","250",LA LIBERTAD,"05",COMASAGUA,"04","0504",60.2,Pobreza Alta,53.2376591111,80.2535218256,"11870","5966","5904",0.485805948104,0.0067040437473,"148",1819.000000,1774.000000,3593.000000,30.2695871946083
"251","251",LA LIBERTAD,"05",ANTIGUO CUSCATLAN,"01","0501",10.6,Pobreza Baja,28.3580183827,21.5086034523,"33698","15276","18422",0.259025782879,0.00179724577668,"1567",840.000000,735.000000,1575.000000,4.67386788533444
"252","252",LA LIBERTAD,"05",TALNIQUE,"19","0519",45.4,Pobreza Moderada,30.1538934801,32.6807481802,"8254","4068","4186",0.275615420998,0.00273071201532,"253",621.000000,561.000000,1182.000000,14.3203295371941
"253","253",LA LIBERTAD,"05",JAYAQUE,"07","0507",37.6,Pobreza Moderada,38.7883336526,42.3683027324,"11058","5409","5649",0.35394289737,0.00354036353716,"261",1545.000000,1469.000000,3014.000000,27.2562850425032
"254","254",LA LIBERTAD,"05",TEPECOYO,"21","0521",54.5,Pobreza Alta,39.8620952376,49.9042345903,"14322","6985","7337",0.364625996377,0.00417034978123,"287",1575.000000,1463.000000,3038.000000,21.2121212121212
"255","255",LA LIBERTAD,"05",SANTA TECLA,"11","0511",18.2,Pobreza Baja,83.4135041624,108.588533821,"121908","55780","66128",0.76135490581,0.00907259105378,"1123",7621.000000,7808.000000,15429.000000,12.6562653804508
"256","256",LA LIBERTAD,"05",COLON,"03","0503",26.7,Pobreza Baja,49.9806032775,76.3891271939,"96989","45781","51208",0.458459873821,0.00638435908767,"1270",7699.000000,7512.000000,15211.000000,15.6832218086587
"257","257",LA LIBERTAD,"05",SACACOYO,"13","0513",35.4,Pobreza Moderada,36.1943096444,24.9985577156,"12299","5974","6325",0.330736608835,0.00208950147745,"492",1727.000000,1706.000000,3433.000000,27.9128384421498
"258","258",LA LIBERTAD,"05",CIUDAD ARCE,"02","0502",25.8,Pobreza Baja,56.5536767644,77.2334648712,"60314","29073","31241",0.51625015169,0.006457505027,"781",5911.000000,5655.000000,11566.000000,19.1763106409789
"259","259",LA LIBERTAD,"05",QUEZALTEPEQUE,"12","0512",30.3,Pobreza Baja,68.1043273069,126.492031834,"52643","24915","27728",0.620335161166,0.0105774203125,"416",5402.000000,5108.000000,10510.000000,19.9646676671162
"260","260",LA LIBERTAD,"05",SAN MATIAS,"16","0516",51.3,Pobreza Alta,47.347899989,51.7365385111,"7314","3569","3745",0.432483641723,0.00432714603292,"141",726.000000,697.000000,1423.000000,19.4558381186765
"261","261",LA LIBERTAD,"05",SAN JUAN OPICO,"15","0515",33.9,Pobreza Baja,98.0262823683,229.485509427,"74280","35550","38730",0.896055692124,0.0191905116451,"324",7780.000000,7323.000000,15103.000000,20.3325255788907
"262","262",LA LIBERTAD,"05",SAN PABLO TACACHICO,"17","0517",51.6,Pobreza Alta,65.7839362571,126.843138827,"20366","9928","10438",0.601661761509,0.0106132929177,"161",2127.000000,2149.000000,4276.000000,20.9957772758519
"263","263",MORAZAN,"13",ZONA DE DEMARCACION LIMITROFE,,,0,,73.2331461634,137.687426954,"0","0","0",0.492327506424,0.0104998773223,"0",,,,
"264","264",CHALATENANGO,"04",ZONA DE DEMARCACION LIMITROFE,,,0,,73.2331461634,137.687426954,"0","0","0",0.128342607558,0.000647328826464,"0",,,,
"265","265",CHALATENANGO,"04",ZONA DE DEMARCACION LIMITROFE,,,0,,17.7138537179,9.75873181474,"0","0","0",0.160976916305,0.000816737055126,"0",,,,
"266","266",MORAZAN,"13",ZONA DE DEMARCACION LIMITROFE,,,0,,17.7138537179,9.75873181474,"0","0","0",0.0618497335245,0.000103185795846,"0",,,,
"267","267",MORAZAN,"13",ZONA DE DEMARCACION LIMITROFE,,,0,,17.7138537179,9.75873181474,"0","0","0",0.120500732118,0.000384175717693,"0",,,,
"268","268",LA UNION,"14",ZONA DE DEMARCACION LIMITROFE,,,0,,30.8404436344,39.0149219271,"0","0","0",0.475995989486,0.00609822448056,"0",,,,
"269","269",LA UNION,"14",ZONA DE DEMARCACION LIMITROFE,,,0,,30.8404436344,39.0149219271,"0","0","0",0.283272604154,0.00326333997109,"0",,,,
"270","270",AHUACHAPAN,"01",GUAYMANGO,"06","0106",72.7,Pobreza Severa,42.0449110793,78.5944617621,"19037","9487","9550",0.383955364286,0.0065688922116,"242",2310.000000,2159.000000,4469.000000,23.4753375006566
"271","271",SONSONATE,"03",SANTO DOMINGO DE GUZMAN,"14","0314",71.7,Pobreza Severa,27.0658570013,28.0023004258,"7055","3398","3657",0.246593511174,0.002340258769,"252",929.000000,880.000000,1809.000000,25.6413890857548
