fid,id,NOM_DPTO,COD_DPTO,municipio,COD_MUN,COD_MUN4,TASA_POBR,POBR_FISDL,PERIM_KM,AREA_KM2,POB_TOTAL,POB_HOMB,POB_MUJER,Shape_Leng,Shape_Area,densidad,2024_TOTAL_HOMBRES_sum,2024_TOTAL_MUJERES_sum,2024_TOTAL_GENERAL_sum,porcentaje_inscritos
"216","216",SAN SALVADOR,"06",SOYAPANGO,"17","0617",20.5,Pobreza Baja,31.8526348191,29.8840587581,"241403","111234","130169",0.290601884989,0.00249931739784,"8078",12830.000000,12814.000000,25644.000000,10.6229002953567
"217","217",SAN SALVADOR,"06",SAN SALVADOR,"14","0614",21.8,Pobreza Baja,52.1300995698,71.4403262761,"316090","144217","171873",0.476859249212,0.00597003703775,"4425",21067.000000,21417.000000,42484.000000,13.4404758138505
"218","218",SAN SALVADOR,"06",MEJICANOS,"08","0608",18.7,Pobreza Baja,29.4898714425,19.4929321358,"140751","64509","76242",0.270846197019,0.00162968869032,"7221",6119.000000,5607.000000,11726.000000,8.33102429112404
"219","219",SAN SALVADOR,"06",AYUTUXTEPEQUE,"03","0603",25.1,Pobreza Baja,21.0646076446,8.92477742386,"34710","17076","17634",0.192671702616,0.000745931676521,"3889",1905.000000,1667.000000,3572.000000,10.2909824258139
"220","220",SAN SALVADOR,"06",DELGADO,"19","0619",30.6,Pobreza Baja,35.5571226802,33.3825338103,"120200","56297","63903",0.324747053388,0.00278986036676,"3601",5862.000000,5461.000000,11323.000000,9.42013311148087
"221","221",SAN SALVADOR,"06",SAN MARTIN,"13","0613",29.9,Pobreza Baja,38.7697298877,55.7120910715,"72758","34050","38708",0.366829144319,0.0046776220104,"1306",6539.000000,6699.000000,13238.000000,18.1945627972182
"222","222",SAN SALVADOR,"06",TONACATEPEQUE,"18","0618",25.7,Pobreza Baja,44.5253336076,67.8556150564,"90896","42778","48118",0.405608019618,0.00567278030645,"1340",6300.000000,6139.000000,12439.000000,13.6848706213695
"223","223",SAN SALVADOR,"06",APOPA,"02","0602",30.2,Pobreza Baja,45.4821257118,53.0689233806,"131286","61172","70114",0.415383216677,0.00443459699588,"2474",9886.000000,9861.000000,19747.000000,15.0412077449233
"224","224",SAN SALVADOR,"06",NEJAPA,"09","0609",37.3,Pobreza Moderada,59.5324013051,83.3300939134,"29458","14290","15168",0.542250311831,0.0069701458087,"354",3003.000000,3069.000000,6072.000000,20.6123973114264
"225","225",SAN SALVADOR,"06",GUAZAPA,"06","0606",41.3,Pobreza Moderada,42.6040955455,64.7957175412,"22906","11116","11790",0.388204616512,0.00541695432917,"354",2139.000000,2137.000000,4276.000000,18.6675980092552
"226","226",SAN SALVADOR,"06",AGUILARES,"01","0601",42.7,Pobreza Moderada,36.0728639155,33.6012139685,"21267","9844","11423",0.329911921496,0.00280964273872,"633",2260.000000,2315.000000,4575.000000,21.5122020031034
"227","227",SAN SALVADOR,"06",EL PAISNAL,"05","0605",44.7,Pobreza Moderada,69.6876549856,126.12112073,"14551","7084","7467",0.636319966942,0.0105589978773,"115",1496.000000,1437.000000,2933.000000,20.1566902618377
"228","228",AHUACHAPAN,"01",SAN PEDRO PUXTLA,"10","0110",70.6,Pobreza Severa,28.781311929,24.3422843781,"7773","3880","3893",0.270561156999,0.00209240947781,"319",996.000000,980.000000,1976.000000,25.4213302457224
"229","229",AHUACHAPAN,"01",JUJUTLA,"07","0107",59.9,Pobreza Alta,80.5493811056,179.879046975,"28599","13981","14618",0.870424526811,0.014975992405,"159",3189.000000,3159.000000,6348.000000,22.1965803000105
"230","230",AHUACHAPAN,"01",APANECA,"02","0102",52,Pobreza Alta,32.4664330927,40.6770800884,"8383","4088","4295",0.306195013741,0.00340092613292,"206",1019.000000,906.000000,1925.000000,22.9631396874627
"231","231",AHUACHAPAN,"01",CONCEPCION DE ATACO,"04","0104",48.7,Pobreza Moderada,47.5784226153,68.9204660813,"12786","6276","6510",0.560437094044,0.00570234399742,"186",1642.000000,1536.000000,3178.000000,24.8553104958548
"232","232",AHUACHAPAN,"01",SAN FRANCISCO MENENDEZ,"08","0108",57.6,Pobreza Alta,98.4258441023,265.791811923,"42607","20769","21838",1.02361876526,0.0219906690321,"160",4474.000000,4486.000000,8960.000000,21.029408313188
"233","233",AHUACHAPAN,"01",TACUBA,"11","0111",68.1,Pobreza Severa,80.8651368935,152.289222389,"29858","14816","15042",0.868202909058,0.013161185141,"196",3498.000000,3294.000000,6792.000000,22.7476723156273
"234","234",AHUACHAPAN,"01",TURIN,"12","0112",32,Pobreza Baja,18.6686474293,10.1366896015,"8997","4263","4734",0.170597869639,0.00083466885192,"888",1126.000000,1017.000000,2143.000000,23.8190507947093
"235","235",AHUACHAPAN,"01",EL REFUGIO,"05","0105",26.4,Pobreza Baja,14.1552393208,8.3470341036,"8171","3896","4275",0.162380450458,0.000946288244863,"979",974.000000,823.000000,1797.000000,21.9924121894505
"236","236",AHUACHAPAN,"01",ATIQUIZAYA,"03","0103",41.2,Pobreza Moderada,54.9150923877,65.1695533019,"33587","16238","17349",0.477571149102,0.00526196733105,"515",3250.000000,3115.000000,6365.000000,18.9507845297288
"237","237",AHUACHAPAN,"01",AHUACHAPAN,"01","0101",47.7,Pobreza Moderada,83.7769501109,251.1917483,"110511","52808","57703",0.770184392682,0.0209796810453,"440",12154.000000,11698.000000,23852.000000,21.5833717910434
"238","238",AHUACHAPAN,"01",SAN LORENZO,"09","0109",53.3,Pobreza Alta,50.1981134773,44.7160958375,"9194","4657","4537",0.465395501503,0.00373340958162,"206",1772.000000,1705.000000,3477.000000,37.8181422666957
"239","239",CHALATENANGO,"04",ZONA DE DEMARCACION LIMITROFE,,,0,,28.7782459968,31.4163092976,"0","0","0",0.263638615039,0.00262995933528,"0",19.000000,20.000000,39.000000,
